t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1
-0.038194913678523,-0.042551305758376,-0.047276587054751,-0.052420180978134,-0.058035019921662,-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031
-0.042551305758376,-0.047276587054751,-0.052420180978134,-0.058035019921662,-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977
-0.047276587054751,-0.052420180978134,-0.058035019921662,-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642
-0.052420180978134,-0.058035019921662,-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557
-0.058035019921662,-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427
-0.064178243003767,-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588
-0.0709119222094,-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501
-0.078303826015317,-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463
-0.086428229301439,-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882
-0.095366777969976,-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858
-0.105209416146041,-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964
-0.116055383017724,-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517
-0.128014285151006,-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102
-0.1412072482946,-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422
-0.155768150011174,-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669
-0.171844930580978,-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609
-0.189600974044036,-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346
-0.209216543336585,-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308
-0.230890242380147,-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253
-0.254840462563446,-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283
